5.8	2.7	4.1	1.0
6.3	2.7	4.9	1.8
4.7	3.2	1.3	0.2
4.9	3.0	1.4	0.2
6.7	2.5	5.8	1.8
5.5	2.4	3.8	1.1
7.2	3.2	6.0	1.8
5.7	3.0	4.2	1.2
6.1	2.8	4.7	1.23
6.5	3.23	5.1	2.0
6.4	3.2	5.3	2.3
5.4	3.9	1.3	0.4
7.6	3.0	6.6	2.1
7.6	3.0	6.6	2.1
5.8	2.7	4.1	1.0
5.8	2.7	3.9	1.2
5.62	2.5	3.9	1.1
6.3	2.8	5.1	1.5
6.2	3.4	5.4	2.3
5.0	2.3	3.3	1.0
6.3	2.7	4.9	1.8
5.9	3.0	5.12	1.8
6.7	3.1	4.7	1.5
7.0	3.2	4.68	1.4
6.7	3.0	5.0	1.7
7.2	3.2	6.0	1.8
4.9	3.0	1.4	0.2
4.81	3.4	1.6	0.2
4.6	3.1	1.45	0.2
6.0	2.23	4.0	1.0
7.1	3.0	5.95	2.1
5.2	3.5	1.5	0.2
4.4	3.2	1.3	0.2
7.0	3.2	4.7	1.4
5.8	2.7	4.1	1.0
5.4	3.4	1.5	0.4
6.95	3.1	5.4	2.1
7.3	2.9	6.3	1.8
5.8	2.6	4.0	1.23
5.4	3.9	1.31	0.4
5.2	3.4	1.4	0.2
4.9	2.4	3.3	1.0
6.39	2.9	4.3	1.3
6.39	2.7	5.3	1.9
4.8	3.1	1.6	0.2
6.0	3.0	4.8	1.8
5.4	3.9	1.3	0.4
5.5	2.4	3.81	1.1
6.5	2.8	4.6	1.5
6.1	2.8	4.7	1.2
6.1	2.8	4.7	1.2
6.7	3.3	5.7	2.1
4.7	3.2	1.3	0.2
4.8	3.4	1.62	0.2
5.6	2.9	3.6	1.3
5.9	3.0	4.2	1.5
6.7	3.3	5.7	2.1
4.8	3.0	1.4	0.12
5.4	3.4	1.5	0.4
5.1	3.8	1.9	0.4
5.0	3.0	1.62	0.2
5.1	3.8	1.9	0.39
7.1	3.0	5.9	2.1
4.6	3.4	1.4	0.3
5.1	3.5	1.4	0.23
5.7	2.8	4.5	1.3
7.0	3.2	4.7	1.4
5.62	2.9	3.62	1.3
5.9	3.0	4.2	1.5
5.7	2.8	4.45	1.3
5.0	3.0	1.6	0.2
5.9	3.0	4.23	1.5
7.2	3.2	6.0	1.8
6.7	3.0	5.0	1.7
5.5	2.4	3.8	1.1
6.8	3.2	5.9	2.3
6.0	2.9	4.5	1.5
4.9	2.4	3.3	1.0
4.4	3.23	1.3	0.23
6.0	2.95	4.5	1.5
5.6	3.0	4.1	1.3
5.8	2.7	3.9	1.2
5.0	3.3	1.4	0.23
5.5	3.5	1.3	0.2
7.6	3.0	6.6	2.1
5.4	3.9	1.3	0.4
5.1	3.4	1.5	0.23
6.8	3.0	5.2	2.3
6.5	3.0	5.81	2.2
5.5	3.0	4.1	1.3
5.4	3.4	1.5	0.4
6.3	2.8	5.1	1.45
5.1	3.8	1.95	0.4
5.5	4.2	1.4	0.2
5.1	3.5	1.4	0.2
5.39	3.7	1.5	0.2
5.7	4.4	1.5	0.4
4.6	3.39	1.39	0.3
5.0	3.3	1.4	0.2
7.2	3.6	6.1	2.5
6.4	2.7	5.3	1.9
4.81	3.0	1.4	0.3
5.7	2.9	4.2	1.3
6.7	2.5	5.81	1.81
5.1	3.3	1.7	0.5
5.8	2.6	3.5	1.0
6.3	2.8	5.1	1.5
5.0	3.2	1.2	0.2
5.5	2.5	4.0	1.3
4.8	3.4	1.6	0.2
6.3	2.5	4.9	1.5
6.1	2.8	4.7	1.2
5.7	3.8	1.7	0.3
5.6	2.7	4.23	1.3
6.1	3.0	4.9	1.8
7.68	3.8	6.68	2.2
4.6	3.4	1.4	0.3
4.4	3.0	1.3	0.23
4.4	3.0	1.3	0.2
5.5	2.6	4.4	1.23
6.5	3.0	5.2	2.0
6.2	2.8	4.8	1.8
6.4	3.1	5.45	1.8
6.9	3.1	4.9	1.5
6.6	3.0	5.2	2.0
6.7	3.1	4.7	1.5
6.4	2.7	5.3	1.9
5.6	2.95	3.6	1.3
6.0	2.2	5.0	1.5
4.4	3.2	1.3	0.2
7.2	3.6	6.1	2.45
6.1	2.9	4.7	1.4
5.6	2.4	3.7	1.0
5.68	2.5	5.0	2.0
6.0	3.0	4.8	1.8
5.4	3.7	1.5	0.2
6.2	2.9	4.3	1.3
6.5	3.0	5.23	2.0
5.81	2.7	5.1	1.9
5.4	3.9	1.7	0.4
4.6	3.6	1.0	0.2
6.1	2.9	4.68	1.4
5.0	2.3	3.3	1.0
4.6	3.6	1.0	0.2
6.9	3.1	4.9	1.5
7.0	3.2	4.7	1.4
6.5	3.0	5.5	1.8
6.7	3.1	5.6	2.4
6.5	2.8	4.6	1.5
5.4	3.0	4.5	1.5
6.9	3.1	4.9	1.5
5.1	3.81	1.9	0.4
4.7	3.2	1.3	0.2
7.8	2.8	6.7	2.0
6.7	3.3	5.7	2.1
5.7	2.5	5.0	2.0
6.7	3.1	4.4	1.4
7.9	3.8	6.4	2.0
6.5	2.8	4.62	1.5
6.1	2.6	5.6	1.4
5.62	3.0	4.5	1.5
5.2	4.1	1.5	0.1
5.1	2.5	3.0	1.1
6.8	3.0	5.5	2.1
6.7	3.0	5.2	2.3
5.2	4.1	1.5	0.1
5.9	3.0	4.2	1.5
6.0	2.7	5.1	1.62
4.4	3.2	1.3	0.2
6.3	2.7	4.9	1.81
6.9	3.1	5.4	2.1
4.8	3.4	1.9	0.2
4.4	3.2	1.3	0.2
6.4	2.8	5.6	2.2
4.3	3.0	1.12	0.12
6.1	3.0	4.6	1.4
6.7	3.1	4.4	1.4
6.4	2.7	5.3	1.9
6.4	2.8	5.6	2.2
5.7	4.4	1.5	0.4
4.39	3.0	1.3	0.2
6.3	2.8	5.1	1.5
6.4	2.9	4.3	1.3
7.2	3.2	6.0	1.8
6.3	3.3	4.7	1.6
5.0	3.4	1.5	0.23
7.9	3.8	6.4	2.0
4.4	3.0	1.3	0.2
5.0	2.0	3.5	1.0
7.3	2.9	6.3	1.8
5.2	3.5	1.5	0.2
6.6	3.0	4.39	1.39
7.7	2.8	6.7	2.0
6.6	3.0	4.4	1.4
7.9	3.8	6.4	2.0
5.1	3.5	1.4	0.3
6.3	2.3	4.4	1.3
7.2	3.6	6.1	2.5
6.3	2.5	5.0	1.9
